Suburb/Town,Sports Played,Facility_Count,Lat,Long
 Cobram,Motor Cycling,1,-35.949855,145.697566
 Myrtleford,Motor Cycling,1,-36.541578,146.767051
Abbotsford,Australian Rules Football,1,-37.79858,144.996607
Abbotsford,Cricket,3,-37.795643,145.007718
Abbotsford,Golf,1,-37.795643,145.007718
Aberfeldie,Australian Rules Football,1,-37.755988,144.891501
Aberfeldie,Cricket,1,-37.755988,144.891501
Aberfeldie,Lawn Bowls,1,-37.755774,144.8927
Aberfeldie,Netball,1,-37.755988,144.891501
Aberfeldie,Tennis (Outdoor),1,-37.755988,144.891501
Aireys Inlet,Badminton,1,-38.456467,144.108365
Aireys Inlet,Basketball,1,-38.456467,144.108365
Aireys Inlet,Equestrian,1,-38.444098,144.099906
Aireys Inlet,Skating,1,-38.466196,144.098416
Aireys Inlet,Tennis (Outdoor),1,-38.456467,144.108365
Airleys Inlet,Skating ,1,-38.466196,144.098416
Airport West,Australian Rules Football,2,-37.722827,144.87705449999999
Airport West,Cricket,2,-37.722827,144.87705449999999
Airport West,Netball,1,-37.7318,144.884284
Airport West,Soccer (Indoor Soccer / Futsal),1,-37.715962,144.889
Airport West,Tennis (Outdoor),2,-37.72357,144.878141
Albanvale,Australian Rules Football,1,-37.745439,144.774144
Albanvale,Basketball,1,-37.745225,144.764751
Albanvale,Cricket,1,-37.745439,144.774144
Albert Park,Athletics,1,-37.840445,144.964961
Albert Park,Australian Rules Football,2,-37.8533095,144.975232
Albert Park,Badminton,1,-37.842948,144.960718
Albert Park,Baseball,1,-37.850701,144.970472
Albert Park,Basketball,1,-37.842948,144.960718
Albert Park,Cricket,4,-37.85065875,144.974656
Albert Park,Fitness / Gymnasium Workouts,1,-37.842948,144.960718
Albert Park,Golf,1,-37.847567,144.975537
Albert Park,Hockey,1,-37.850701,144.970472
Albert Park,Lacrosse,1,-37.845315,144.977688
Albert Park,Netball (Indoor),1,-37.850701,144.970472
Albert Park,Soccer,2,-37.845573,144.9677165
Albert Park,Soccer (Indoor Soccer / Futsal),1,-37.850701,144.970472
Albert Park,Squash / Racquetball,1,-37.842948,144.960718
Albert Park,Surf Life Saving,1,-37.847119,144.946524
Albert Park,Swimming,1,-37.842948,144.960718
Albert Park,Table Tennis,2,-37.844606999999996,144.96284550000001
Albert Park,Tennis (Outdoor),6,-37.84792183333334,144.971672
Albert Park,Touch Football,1,-37.850701,144.970472
Albert Park,Volleyball,1,-37.842948,144.960718
Albert Park ,Lawn Bowls,1,-37.839581,144.95372
Alberton West,Australian Rules Football,1,-38.603665,146.587473
Alberton West,Cricket,1,-38.603665,146.587473
Alberton West,Netball,1,-38.603665,146.587473
Albion,Australian Rules Football,1,-37.781765,144.814164
Albion,BMX,1,-37.770928,144.810941
Albion,Baseball,1,-37.781009,144.825909
Albion,Bocce,2,-37.770326999999995,144.80936300000002
Albion,Cricket,1,-37.781765,144.814164
Albion,Soccer,1,-37.770817,144.80674
Albion,Tennis (Outdoor),2,-37.781765,144.814164
Alexandra,Athletics,1,-37.187871,145.712598
Alexandra,Australian Rules Football,1,-37.185408,145.706495
Alexandra,BMX,1,-37.191764,145.7076
Alexandra,Basketball,1,-37.193387,145.700477
Alexandra,Cricket,3,-37.18861166666667,145.706474
Alexandra,Equestrian,1,-37.183186,145.712036
Alexandra,Fitness / Gymnasium Workouts,1,-37.193387,145.700477
Alexandra,Golf,1,-37.183321,145.716018
Alexandra,Lawn Bowls,1,-37.188859,145.711237
Alexandra,Netball,2,-37.1893975,145.703486
Alexandra,Skating,1,-37.191655,145.707648
Alexandra,Soccer,1,-37.187871,145.712598
Alexandra,Swimming,1,-37.188914,145.713059
Alexandra,Tennis (Outdoor),1,-37.188457,145.71565
Alfredton,Australian Rules Football,1,-37.555141,143.799882
Alfredton,Cricket,1,-37.555141,143.799882
Alfredton,Lawn Bowls,1,-37.554258,143.800463
Alfredton,Netball,1,-37.555141,143.799882
Alfredton,Soccer,1,-37.555141,143.799882
Alfredton,Tennis (Outdoor),1,-37.555141,143.799882
Allans Flat,Tennis (Outdoor),1,-36.276073,146.908388
Allansford,Australian Rules Football,1,-38.385157,142.598619
Allansford,Cricket,2,-38.385157,142.598619
Allansford,Netball,1,-38.385157,142.598619
Alphington,Australian Rules Football,1,-37.783779,145.029131
Alphington,Cricket,1,-37.783779,145.029131
Alphington,Lawn Bowls,1,-37.783779,145.029131
Alphington,Soccer,1,-37.783779,145.029131
Alphington ,Fitness / Gymnasium Workouts,1,-37.780993,145.031394
Altona,Athletics,1,-37.859713,144.82616
Altona,Australian Rules Football,1,-37.862122,144.826574
Altona,Baseball,1,-37.86073,144.780041
Altona,Cricket,6,-37.86097266666667,144.8251875
Altona,Fitness / Gymnasium Workouts,2,-37.8654525,144.830839
Altona,Golf,1,-37.873873,144.811386
Altona,Hockey,1,-37.862122,144.826574
Altona,Lacrosse,1,-37.842008,144.857751
Altona,Lawn Bowls,3,-37.86374333333333,144.8432333333333
Altona,Soccer,1,-37.842008,144.857751
Altona,Softball,1,-37.86073,144.780041
Altona,Surf Life Saving,1,-37.870694,144.830903
Altona,Swimming,1,-37.8655,144.831
Altona,Tennis (Outdoor),2,-37.862122,144.826574
Altona Meadows,Australian Rules Football,3,-37.87492233333333,144.77694833333334
Altona Meadows,Basketball,2,-37.882135500000004,144.7895785
Altona Meadows,Cricket,6,-37.87492233333333,144.77694833333334
Altona Meadows,Lawn Bowls,1,-37.865375,144.781073
Altona Meadows,Netball,2,-37.882135500000004,144.7895785
Altona Meadows,Netball (Indoor),1,-37.876617,144.797079
Altona Meadows,Rugby League,1,-37.87221,144.766738
Altona Meadows,Soccer,1,-37.864903,144.782029
Altona Meadows,Tennis (Outdoor),3,-37.87492233333333,144.77694833333334
Altona Meadows,Touch Football,1,-37.87221,144.766738
Altona North,AFL (Indoor),1,-37.833056,144.825247
Altona North,Australian Rules Football,1,-37.827492,144.833396
Altona North,Badminton,1,-37.840715,144.858582
Altona North,Beach Volleyball,1,-37.833056,144.825247
Altona North,Bocce,1,-37.833623,144.837453
Altona North,Cricket,4,-37.82969925,144.84097774999998
Altona North,Cricket (Indoor),1,-37.833056,144.825247
Altona North,Fitness / Gymnasium Workouts,6,-37.8332685,144.849794
Altona North,Golf,1,-37.842231,144.85907
Altona North,Lawn Bowls,1,-37.841808,144.859585
Altona North,Netball (Indoor),1,-37.833056,144.825247
Altona North,Rock Climbing / Abseiling (Indoor),1,-37.833056,144.825247
Altona North,Rugby Union,1,-37.836203,144.8517
Altona North,Soccer,2,-37.8371695,144.850259
Altona North,Soccer (Indoor Soccer / Futsal),1,-37.833056,144.825247
Altona North,Swimming,1,-37.839618,144.855755
Altona North,Ten Pin Bowling,1,-37.832222,144.861995
Altona North,Tennis (Indoor),1,-37.833056,144.825247
Alvie,Australian Rules Football,1,-38.242638,143.50924
Alvie,Cricket,1,-38.242638,143.50924
Alvie,Netball,1,-38.242638,143.50924
Amphitheatre,Cricket,1,-37.184543,143.398223
Amphitheatre,Tennis (Outdoor),1,-37.184543,143.398223
Anakie,Australian Rules Football,1,-37.916107,144.252609
Anakie,Cricket,1,-37.916107,144.252609
Anakie,Netball,1,-37.916107,144.252609
Anglesea,Australian Rules Football,1,-38.399002,144.201812
Anglesea,BMX,1,-38.397257,144.193873
Anglesea,Cricket,1,-38.399002,144.201812
Anglesea,Cycling,1,-38.397388,144.193981
Anglesea,Equestrian,1,-38.396374,144.185951
Anglesea,Golf,1,-38.405319,144.171487
Anglesea,Lawn Bowls,1,-38.405953,144.191236
Anglesea,Netball,1,-38.399002,144.201812
Anglesea,Sailing,1,-38.426909,144.178684
Anglesea,Surf Life Saving,1,-38.414794,144.185188
Anglesea,Tennis (Outdoor),2,-38.406049,144.191757
Apollo Bay,Australian Rules Football,1,-38.762937,143.667818
Apollo Bay,Cricket,1,-38.762937,143.667818
Apollo Bay,Equestrian,1,-38.764388,143.668828
Apollo Bay,Golf,1,-38.759467,143.672201
Apollo Bay,Lawn Bowls,1,-38.757111,143.667306
Apollo Bay,Netball,1,-38.762937,143.667818
Apollo Bay,Sailing,1,-38.759867,143.6755
Apollo Bay,Skating,1,-38.757987,143.671004
Apollo Bay,Surf Life Saving,1,-38.756059,143.669784
Apollo Bay,Tennis (Outdoor),2,-38.7583235,143.664666
Apsley,Australian Rules Football,1,-36.964899,141.083219
Apsley,Cricket,1,-36.964899,141.083219
Apsley,Golf,1,-36.978151,141.100331
Apsley,Netball,1,-36.964899,141.083219
Apsley,Tennis (Outdoor),1,-36.964899,141.083219
Ararat,Athletics,1,-37.290964,142.944466
Ararat,Australian Rules Football,2,-37.285189,142.9359635
Ararat,Badminton,1,-37.281984,142.92884
Ararat,Basketball,1,-37.28209,142.932911
Ararat,Cricket,4,-37.27918025,142.93698425
Ararat,Croquet,1,-37.282005,142.93149
Ararat,Cycling,6,-37.2641875,142.92964233333333
Ararat,Equestrian,1,-37.292104,142.935676
Ararat,Fitness / Gymnasium Workouts,1,-37.28209,142.932911
Ararat,Golf,2,-37.276107499999995,142.932021
Ararat,Hockey,1,-37.290964,142.944466
Ararat,Lawn Bowls,4,-37.276994,142.932988
Ararat,Netball,1,-37.279414,142.927461
Ararat,Netball (Indoor),1,-37.28209,142.932911
Ararat,Shooting Sports,1,-37.273998,142.950067
Ararat,Squash / Racquetball,1,-37.28209,142.932911
Ararat,Swimming,2,-37.28142,142.930894
Ararat,Table Tennis,1,-37.281984,142.92884
Ararat,Tennis (Outdoor),1,-37.277621,142.928738
Ararat ,Motor Cycling,1,-37.277696,142.993778
Ardeer,Basketball,1,-37.782572,144.805283
Ardeer,Soccer,1,-37.778452,144.806221
Ardmona,Australian Rules Football,1,-36.384564,145.299035
Ardmona,Cricket,1,-36.384564,145.299035
Ardmona,Netball,1,-36.384564,145.299035
